id,station_id,subject,location,cold_temperature_1day_098,cold_temperature_1day_092,cold_temperature_5day_098,cold_temperature_5day_092,temperature_094,absolutely_minimal_temperature,mean_1day_amplitude_the_coldest_month,duration_of_period_with_mean_1day_temperature_1,mean_temperature_1,duration_of_period_with_mean_1day_temperature_2,mean_temperature_2,duration_of_period_with_mean_1day_temperature_3,mean_temperature_3,mean_monthly_relative_moisture_the_coldest_month,mean_monthly_relative_moisture_in15oclock_the_coldest_month,precipitation_november_march_mm,dominant_wind_direction_december_february,maximal_of_mean_speed_wind_by_point_january,mean_wind_speed_in_period_of_mean_1day_temperature
174,174,Краснодарский край,Красная Поляна,-12,-10,-9,-7,-2,-23,7.3,0,,153,3.1,175,3.8,83,72,987,С,1.5,1.4
175,175,Краснодарский край,Краснодар,-23,-20,-18,-15,-3,-36,7.1,31,0,146,2.7,165,3.4,81,72,309,В,3.2,2.6
176,176,Краснодарский край,Приморско-Ахтарск,-21,-19,-17,-15,-4,-30,6,63,-1.1,155,1.7,172,2.4,83,78,242,В,4.4,3.5
177,177,Краснодарский край,Сочи,-6,-4,-5,-3,3,-13,6.2,0,,93,6.6,128,7.2,72,68,804,В,4.6,2.2
178,178,Краснодарский край,Тихорецк,-24,-22,-20,-17,-6,-32,6.9,72,-1.5,157,1.3,173,2,83,77,242,В,4.5,3.4
179,179,Красноярский край,Агата,-56,-55,-54,-53,-43,-59,9.6,233,-21.7,291,-16.6,306,-15.3,75,74,125,Ю,2.9,1.6
180,180,Красноярский край,Ачинск,-43,-40,-40,-36,-22,-60,7.7,172,-10.6,234,-6.7,250,-5.7,74,71,102,ЮЗ,4.7,4
181,181,Красноярский край,Байкит,-55,-53,-52,-50,-38,-57,8.6,212,-18.4,267,-13.8,280,-12.7,76,75,150,Ю,2.1,1.2
182,182,Красноярский край,Боготол,-44,-41,-41,-37,-23,-53,8.5,177,-11.1,238,-7.2,256,-6.1,74,72,142,ЮЗ,3.7,3.1
183,183,Красноярский край,Богучаны,-50,-47,-47,-45,-32,-54,9.8,185,-15.2,246,-10.4,260,-9.4,77,75,85,З,3.1,1.9
184,184,Красноярский край,Ванавара,-56,-55,-53,-51,-39,-61,12.4,207,-18.4,261,-13.8,274,-12.7,77,75,107,ЮЗ,2.1,1.5
185,185,Красноярский край,Вельмо,-56,-53,-50,-48,-37,-59,11.6,205,-17.3,264,-12.5,279,-11.4,76,76,176,З,4,1.5
186,186,Красноярский край,Верхнеимбатск,-54,-51,-50,-47,-28,-57,8.2,212,-15.4,265,-11.5,278,-10.5,77,77,191,ЮВ,3.1,2.6
187,187,Красноярский край,Волочанка,-55,-53,-52,-50,-40,-59,8.2,252,-20.7,300,-16.7,316,-15.4,77,77,98,В,6.7,3.8
188,188,Красноярский край,Диксон,-44,-43,-42,-40,-32,-48,6.8,264,-17,366,-11.2,365,-11.1,82,82,146,Ю,9,6.5
189,189,Красноярский край,Дудинка,-52,-50,-47,-47,-38,-57,8,247,-18.8,296,-15,311,-13.9,73,73,203,Ю,6.7,5
190,190,Красноярский край,Енисейск,-49,-47,-47,-44,-29,-59,10.2,183,-13.7,246,-9.1,261,-8.1,78,76,141,ЮВ,3.1,2.5
191,191,Красноярский край,Игарка,-54,-52,-50,-49,-37,-57,8.4,233,-18.2,282,-14.3,296,-13.2,75,74,169,Ю,5.2,3.6
192,192,Красноярский край,Канск,-44,-42,-42,-40,-28,-51,10.4,176,-13.3,238,-8.8,254,-7.6,77,75,62,З,4.5,3.1
193,193,Красноярский край,Красноярск,-41,-39,-39,-37,-23,-53,8.4,169,-10.7,234,-6.6,251,-5.5,72,69,112,ЮЗ,4.1,2.5
194,194,Красноярский край,Минусинск,-44,-41,-41,-40,-25,-52,13,162,-12.2,223,-7.7,240,-6.5,77,69,47,ЮЗ,4,1.5
195,195,Красноярский край,Тура,-56,-55,-54,-53,-43,-59,8.3,219,-21.9,270,-17,283,-15.8,76,76,82,З,2,1.6
196,196,Красноярский край,Туруханск,-53,-52,-50,-48,-35,-61,8.5,224,-16.8,274,-13,288,-11.9,74,73,177,Ю,5.1,3.4
197,197,Красноярский край,Хатанга,-56,-53,-52,-50,-40,-59,7.3,254,-21.9,303,-17.7,318,-16.4,76,76,77,ЮЗ,5.4,4.1
198,198,Красноярский край,"Челюскин, мыс",-45,-44,-42,-41,-34,-49,6.2,294,-18.5,366,-14.7,365,-14.6,82,82,69,ЮЗ,8.3,6
199,199,Красноярский край,Ярцево,-51,-49,-48,-46,-32,-56,9.1,199,-14.7,255,-10.6,270,-9.5,78,78,198,ЮВ,4.1,3.3
200,200,Республика Крым,Ай-Петри,-22,-20,-18,-16,-7,-27,5.6,104,-2.2,209,0.9,235,1.8,83,69,638,СЗ,,
201,201,Республика Крым,Керчь,-17,-15,-14,-12,-3,-23,5.9,37,0,154,2.6,174,3.4,86,80,183,СВ,6.3,5.1
202,202,Республика Крым,Клепинино,-22,-19,-17,-14,-5,-33,6.7,45,-0.7,152,2.4,175,3.3,86,74,178,В,,
203,203,Республика Крым,Севастополь,-14,-12,-9,-7,1,-22,6.1,0,,132,4.9,160,5.6,80,67,204,СВ,,
204,204,Республика Крым,Симферополь,-20,-18,-15,-13,-3,-30,6.4,32,0,154,2.6,177,3.4,84,76,209,СВ,6.2,4.9
205,205,Республика Крым,Феодосия,-17,-15,-14,-12,-2,-25,5.8,0,,142,3.5,164,4.2,81,76,187,СЗ,3.7,3.6
206,206,Республика Крым,Ялта,-9,-7,-5,-4,2,-12,5.6,0,,127,5.3,154,5.9,76,52,342,З,2.8,1.9
207,207,Курганская область,Курган,-42,-40,-39,-36,-22,-48,8.8,161,-11.2,212,-7.5,228,-6.3,77,75,93,Ю,5.4,4
208,208,Курская область,Курск,-29,-27,-25,-23,-12,-35,6.2,132,-5.1,194,-2.2,210,-1.3,85,81,224,З,4,3.4
209,209,Ленинградская область,Выборг,-32,-29,-29,-26,-13,-38,7.2,143,-5.1,221,-1.9,239,-1.1,86,85,264,Ю,6,3.7
210,210,Ленинградская область,Новая Ладога,-34,-31,-30,-27,-14,-44,5.9,142,-5.4,217,-2.2,237,-1.2,86,84,344,Ю,3.7,3.3
211,211,Ленинградская область,Санкт-Петербург,-31,-28,-27,-24,-11,-36,5.8,130,-4.4,211,-1.2,230,-0.4,86,84,322,"ЮЗ, З",3.2,2.4
212,212,Ленинградская область,Тихвин,-38,-35,-33,-29,-15,-51,8.4,148,-5.9,223,-2.6,241,-1.7,86,84,380,Ю,3.2,2.6
213,213,Липецкая область,Липецк,-32,-30,-28,-25,-14,-38,6.9,138,-6.1,196,-3.1,212,-2.2,86,83,179,З,5.2,4.5
214,214,Магаданская область,Брохово,-39,-37,-37,-35,-26,-46,7.7,215,-13,279,-9.1,300,-7.8,79,77,223,СЗ,6.9,5.2
215,215,Магаданская область,Магадан,-32,-30,-30,-28,-21,-35,7.2,210,-11.1,278,-7.4,302,-6.1,62,60,128,СВ,4.7,3.9
216,216,Магаданская область,Омсукчан,-53,-52,-49,-48,-42,-56,8.6,231,-22.7,279,-18,297,-16.4,73,73,86,СВ,4.6,2.2
217,217,Магаданская область,Палатка,-40,-38,-38,-35,-29,-49,9.9,218,-14.8,272,-11,290,-9.8,69,64,90,В,3.9,2.5
218,218,Магаданская область,Среднекан,-54,-52,-51,-50,-42,-56,6,223,-24.3,264,-19.8,278,-18.4,78,77,146,ЮЗ,1.5,1.6
219,219,Магаданская область,Сусуман,-58,-56,-55,-54,-45,-61,7.8,231,-25.2,276,-20.4,292,-18.7,75,73,47,СВ,3.2,1.6
220,220,Республика Марий Эл,Йошкар-Ола,-39,-36,-35,-31,-17,-47,8,155,-8.1,214,-4.8,231,-3.8,84,82,176,Ю,4.6,4
221,221,Республика Мордовия,Саранск,-35,-32,-30,-28,-15,-44,7,149,-7.3,206,-4.2,220,-3.3,83,81,164,Ю,6.7,5.2
222,222,Московская область,Дмитров,-35,-31,-29,-26,-14,-43,6.4,143,-6,210,-2.8,228,-1.8,83,79,198,Ю,4.7,3
223,223,Московская область,Кашира,-34,-30,-29,-26,-14,-44,6.3,143,-6.1,206,-3,223,-2.1,84,81,195,Ю,3.9,3.6
224,224,Московская область,Можайск,-34,-30,-28,-26,-13,-44,7,141,-5.8,210,-2.6,228,-1.6,84,80,202,Ю,3.9,3.1
225,225,Московская область,Москва,-34,-29,-29,-26,-13,-43,6,135,-5.3,204,-2.2,222,-1.3,84,80,235,З,2,1.8
226,226,Московская область,Наро-Фоминск,-34,-30,-28,-26,-13,-42,7.1,142,-5.8,210,-2.6,228,-1.7,84,80,210,Ю,3.6,3
227,227,Московская область,Новомосковский АО,-34,-30,-28,-26,-14,-44,6.6,144,-5.8,209,-2.7,226,-1.8,84,79,187,Ю,3.2,2.5
228,228,Московская область,Троицкий АО,-34,-31,-29,-26,-14,-42,6.7,140,-6,211,-2.6,229,-1.7,84,81,209,Ю,3.9,3.2
229,229,Московская область,Черусти,-35,-32,-29,-27,-15,-45,7.6,144,-6.4,208,-3.2,227,-2.2,84,80,198,Ю,3.1,2.6
230,230,Мурманская область,Вайда-Губа,-21,-19,-18,-16,-9,-27,5.5,176,-3.6,285,-0.7,319,0.4,84,84,191,ЮЗ,9.2,6.7
231,231,Мурманская область,Кандалакша,-37,-35,-33,-30,-19,-44,8.8,187,-8,264,-4.5,285,-3.5,85,85,166,С,3.6,2.6
232,232,Мурманская область,Ковдор,-39,-36,-35,-32,-19,-44,8.3,195,-8.1,271,-4.7,293,-3.6,84,84,177,З,2.5,2.1
233,233,Мурманская область,Краснощелье,-42,-40,-37,-34,-20,-49,10.2,201,-8.7,278,-5.1,300,-4.1,86,86,160,З,3.4,2.6
234,234,Мурманская область,Ловозеро,-42,-39,-37,-34,-18,-47,11,199,-8.9,279,-5.1,301,-4.1,85,85,130,З,5.2,2.9
235,235,Мурманская область,Мончегорск,-41,-38,-35,-32,-17,-44,9.1,191,-8,269,-4.5,290,-3.5,84,84,142,Ю,6.5,4
236,236,Мурманская область,Мурманск,-36,-33,-31,-28,-16,-39,6.5,187,-6.7,273,-3.3,299,-2.2,84,84,149,Ю,5.4,4.9
237,237,Мурманская область,Ниванкюль,-43,-40,-38,-34,-17,-48,8.6,190,-8.1,272,-4.4,294,-3.4,84,84,169,ЮЗ,3.1,2
238,238,Мурманская область,Пялица,-32,-29,-29,-26,-16,-38,7.3,190,-7,289,-3.2,324,-1.9,86,85,142,З,8.2,5.4
239,239,Мурманская область,о. Сосновец,-30,-27,-27,-24,-14,-35,5.7,197,-6,304,-2.4,365,-0.4,87,87,98,ЮЗ,9.2,6.4
240,240,Мурманская область,Териберка,-26,-24,-23,-21,-12,-32,6,186,-5.1,280,-2.1,310,-1,80,80,144,Ю,10.9,8.4
241,241,Мурманская область,Умба,-37,-34,-32,-29,-17,-40,7.1,184,-7.1,261,-3.8,284,-2.8,87,87,176,С,4.7,3.8
242,242,Ненецкий автономный округ,Варандей,-43,-40,-39,-36,-25,-44,8.6,234,-11.6,313,-7.6,343,-6.1,85,85,139,ЮЗ,9.3,6.5
243,243,Ненецкий автономный округ,Индига,-41,-38,-38,-35,-21,-43,8.2,213,-9.4,297,-5.5,328,-4.1,84,84,132,ЮЗ,10,6.6
244,244,Ненецкий автономный округ,Канин Нос,-29,-26,-26,-24,-14,-33,5.7,206,-5.7,316,-2.2,365,-0.7,88,88,175,Ю,10.3,7.8
245,245,Ненецкий автономный округ,Коткино,-50,-47,-45,-41,-25,-51,10.4,212,-10.9,282,-7.1,303,-6,82,82,151,Ю,4.3,3.4
246,246,Ненецкий автономный округ,Нарьян-Мар,-46,-44,-42,-39,-26,-48,9.3,217,-11,287,-7.3,308,-6.2,82,82,148,Ю,4.9,4
247,247,Ненецкий автономный округ,Ходовариха,-39,-37,-35,-32,-23,-41,8,231,-10.3,320,-6.2,362,-4.4,86,86,166,Ю,8.6,6.4
248,248,Ненецкий автономный округ,Хоседа-Хард,-50,-48,-45,-42,-28,-57,9.8,226,-13,291,-9.1,310,-8,82,81,144,Ю,6.7,4.2
249,249,Нижегородская область,Арзамас,-37,-34,-33,-29,-16,-45,7.9,150,-7.2,208,-4.1,225,-3.1,83,81,157,Ю,4.7,3.6
250,250,Нижегородская область,Выкса,-35,-32,-31,-28,-15,-45,7.6,143,-6.6,205,-3.4,221,-2.5,83,80,173,Ю,4.5,3.5
251,251,Нижегородская область,Нижний Новгород,-35,-32,-30,-27,-15,-41,6.2,147,-6.8,209,-3.6,225,-2.7,83,80,225,Ю,4.4,2.6
252,252,Новгородская область,Боровичи,-37,-33,-32,-29,-14,-54,7.3,140,-5.6,215,-2.3,231,-1.5,85,82,194,Ю,2.6,2
253,253,Новгородская область,Великий Новгород,-35,-32,-30,-27,-13,-45,7,138,-5,213,-1.9,231,-1,85,83,186,Ю,5,4.1
254,254,Новосибирская область,Барабинск,-44,-41,-41,-38,-25,-48,8.7,171,-12.5,224,-8.5,241,-7.3,79,76,106,Ю,4.2,3.8
255,255,Новосибирская область,Болотное,-43,-41,-41,-38,-23,-51,8.5,172,-11.6,230,-7.6,246,-6.5,78,72,142,ЮЗ,3.8,2.7
256,256,Новосибирская область,Карасук,-44,-41,-41,-37,-24,-47,9.4,165,-12.5,212,-8.7,228,-7.5,78,76,77,Ю,5.5,4.1
257,257,Новосибирская область,Кочки,-44,-42,-41,-38,-25,-50,10.1,170,-12.5,222,-8.5,238,-7.3,79,77,97,ЮЗ,5.1,4.1
258,258,Новосибирская область,Купино,-44,-41,-42,-38,-24,-47,9.1,166,-12.5,216,-8.6,233,-7.3,78,76,72,ЮЗ,5.8,4.5
259,259,Новосибирская область,Кыштовка,-46,-44,-42,-39,-25,-52,10,173,-12.6,230,-8.4,249,-7.1,77,74,109,Ю,3.9,3.4
260,260,Новосибирская область,Новосибирск,-44,-41,-40,-37,-24,-50,9.6,168,-11.9,222,-7.9,240,-6.7,77,73,120,Ю,4.2,3.6
261,261,Новосибирская область,Татарск,-43,-41,-40,-37,-24,-50,8.9,167,-12.3,220,-8.3,238,-7,79,76,98,ЮЗ,3.7,3.2
262,262,Новосибирская область,Чулым,-44,-42,-41,-38,-25,-52,9.3,170,-12.4,226,-8.2,242,-7.1,77,74,91,ЮЗ,4.9,4
263,263,Омская область,Исиль-Куль,-43,-40,-39,-36,-24,-46,9.2,166,-12.1,216,-8.3,233,-7,79,76,86,ЮЗ,3.9,3.6
264,264,Омская область,Омск,-42,-40,-39,-36,-23,-49,8.9,165,-11.9,216,-8.1,233,-6.8,77,75,113,ЮЗ,2.7,2.7
265,265,Омская область,Тара,-45,-43,-41,-38,-25,-50,9.9,171,-12.3,229,-8.1,247,-6.9,75,72,108,Ю,2.9,2.8
266,266,Омская область,Черлак,-43,-40,-40,-36,-23,-44,8.5,165,-12.2,213,-8.5,229,-7.3,80,78,105,ЮЗ,3.3,2.9
267,267,Оренбургская область,Кувандык,-36,-35,-33,-31,-19,-44,9.7,155,-9.9,205,-6.5,219,-5.5,78,74,203,В,4.7,3
268,268,Оренбургская область,Оренбург,-36,-33,-32,-29,-18,-43,8.5,149,-9.1,195,-6,207,-5.2,79,76,138,В,5.6,4.1
269,269,Оренбургская область,Сорочинск,-36,-33,-32,-30,-18,-43,8.2,150,-8.9,198,-5.8,211,-4.9,81,78,132,ЮВ,4.5,3.2
270,270,Орловская область,Орел,-31,-28,-28,-25,-13,-35,6.6,132,-5.5,198,-2.4,216,-1.4,83,79,207,Ю,4.5,4
271,271,Пензенская область,Земетчино,-35,-32,-31,-28,-15,-43,8,144,-6.8,201,-3.7,215,-2.9,85,82,192,Ю,4.5,3.4
272,272,Пензенская область,Пенза,-34,-31,-29,-27,-15,-43,7.5,144,-7.1,201,-3.9,215,-3.1,84,80,196,ЮЗ,4.5,3.4
273,273,Пермский край,Бисер,-44,-40,-38,-35,-22,-53,7.5,183,-10.6,249,-6.7,268,-5.6,81,81,275,ЮЗ,3.8,2.8
274,274,Пермский край,Ножовка,-43,-39,-37,-34,-19,-50,7.9,159,-9.1,219,-5.5,235,-4.5,77,74,168,З,3.5,2.6
275,275,Пермский край,Пермь,-43,-39,-38,-35,-19,-47,7.8,162,-9.2,225,-5.4,241,-4.5,78,77,195,Ю,3.4,2.8
276,276,Пермский край,Чердынь,-46,-42,-40,-37,-22,-52,7.2,176,-10.1,242,-6.3,259,-5.3,84,83,274,Ю,4,3.3
277,277,Приморский край,Агзу,-31,-30,-28,-28,-24,-43,15.5,163,-12.7,227,-7.9,246,-6.6,68,55,116,С,2.3,1.3
278,278,Приморский край,Анучино,-34,-32,-30,-29,-23,-44,16.2,148,-12.5,199,-8.2,215,-6.9,73,59,113,ЮЗ,2.4,2.1
279,279,Приморский край,Астраханка,-29,-28,-27,-25,-19,-40,11.2,145,-10.6,198,-6.7,213,-5.6,70,65,53,ЮЗ,3.4,3.2
280,280,Приморский край,Богополь,-24,-23,-21,-20,-15,-30,8.9,140,-8.3,207,-4.2,229,-3,49,43,100,З,6.1,4.1
281,281,Приморский край,Владивосток,-26,-24,-24,-22,-15,-31,7.3,135,-8.2,199,-4.2,220,-3,58,52,103,С,7.1,6.6
282,282,Приморский край,Дальнереченск,-32,-30,-30,-28,-22,-42,10.1,152,-12.7,200,-8.6,215,-7.4,73,61,91,З,2.9,2.9
283,283,Приморский край,Кировский,-35,-34,-32,-30,-23,-44,11.6,149,-12.7,196,-8.6,211,-7.4,73,63,96,З,2.4,1.8
284,284,Приморский край,Красный Яр,-36,-35,-34,-32,-28,-47,17.6,163,-14.6,214,-10.2,230,-8.8,74,64,141,ЮЗ,2.4,1.2
285,285,Приморский край,Маргаритово,-26,-25,-22,-21,-14,-36,14.7,143,-8.5,210,-4.4,234,-3,58,52,147,СЗ,2.9,1.9
286,286,Приморский край,Мельничное,-35,-33,-33,-31,-27,-49,16.1,167,-14,222,-9.5,239,-8.2,74,59,97,З,4.1,2.2
287,287,Приморский край,Партизанск,-26,-24,-23,-21,-15,-30,9.5,137,-8.3,194,-4.6,213,-3.4,53,47,124,С,5.4,4.2
288,288,Приморский край,Посьет,-23,-21,-20,-18,-12,-27,8.3,125,-6.4,188,-2.8,208,-1.7,51,46,74,З,6.6,4.4
289,289,Приморский край,Преображение,-21,-19,-18,-16,-11,-27,9.2,124,-5.3,203,-1.6,228,-0.4,44,42,131,С,3.8,3.1
290,290,Приморский край,Рудная Пристань,-23,-22,-20,-19,-14,-31,9.9,137,-7.3,216,-3.1,241,-1.8,46,41,125,З,4.6,3.4
291,291,Приморский край,Сосуново,-25,-24,-22,-21,-16,-33,10,153,-8.4,237,-3.9,260,-2.8,55,51,116,З,5.8,5.3
292,292,Приморский край,Чугуевка,-34,-33,-32,-30,-25,-47,16.6,154,-13.4,207,-8.8,223,-7.5,78,65,121,СЗ,2.2,1.4
293,293,Псковская область,Великие Луки,-33,-30,-29,-25,-12,-46,7.7,130,-4.7,206,-1.5,226,-0.6,84,80,189,Ю,4.1,3.1
294,294,Псковская область,Псков,-32,-29,-28,-25,-12,-41,6.7,128,-4.4,208,-1.2,228,-0.3,86,84,212,Ю,3.5,2.9
295,295,Ростовская область,Гигант,-26,-23,-22,-19,-8,-34,6.4,92,-2.6,165,0.2,180,0.9,85,80,198,В,5.2,4
296,296,Ростовская область,Миллерово,-29,-26,-24,-22,-11,-36,7,119,-4.5,180,-1.6,196,-0.8,84,79,200,В,6.5,4.4
297,297,Ростовская область,Ростов-на-Дону,-25,-23,-21,-18,-8,-33,6.1,96,-2.7,167,0,183,0.8,85,80,257,В,5.5,4.2
298,298,Ростовская область,Таганрог,-24,-21,-19,-17,-7,-32,5.6,94,-2.5,165,0.2,181,0.9,85,81,244,В,4.6,3.6
299,299,Рязанская область,Рязань,-32,-30,-28,-25,-14,-41,6.8,142,-6.1,203,-3,219,-2.2,84,81,189,Ю,3.6,3.2
300,300,Самарская область,Самара,-34,-31,-29,-27,-16,-43,6.7,144,-7.8,196,-4.7,210,-3.8,83,80,226,В,3.5,2.9
301,301,Саратовская область,Александров Гай,-32,-30,-29,-26,-15,-40,8.1,136,-7.2,186,-4.2,198,-3.4,84,82,133,В,4.8,3.8
302,302,Саратовская область,Балашов,-31,-29,-27,-25,-14,-38,7.3,138,-6.4,193,-3.4,208,-2.5,85,81,204,Ю,4.6,3.9
303,303,Саратовская область,Саратов,-31,-28,-26,-24,-13,-37,6.4,139,-5.8,189,-3.2,201,-2.5,83,80,195,СЗ,4.3,3.1
304,304,Республика Саха (Якутия),Алдан,-46,-44,-43,-41,-33,-51,8.4,214,-17.7,263,-13.6,275,-12.6,77,75,150,ЮЗ,2.3,1.9
305,305,Республика Саха (Якутия),Амга,-58,-56,-55,-54,-46,-63,7.4,212,-27,254,-21.8,267,-20.3,74,74,49,ЮЗ,2.1,1.4
306,306,Республика Саха (Якутия),Батамай,-59,-56,-55,-53,-46,-63,7.7,218,-26.7,262,-21.5,275,-20.1,71,71,54,СВ,2.9,2.1
307,307,Республика Саха (Якутия),Бердигястях,-58,-56,-56,-54,-45,-61,9.6,217,-24.7,263,-19.6,276,-18.3,69,69,52,З,1.7,1
308,308,Республика Саха (Якутия),Буяга,-56,-54,-54,-52,-44,-61,11.3,212,-23.9,261,-18.6,274,-17.3,76,75,58,З,2.6,0.7
309,309,Республика Саха (Якутия),Верхоянск,-62,-59,-60,-58,-50,-68,6.1,229,-30.2,272,-24.7,284,-23.3,74,73,35,ЮЗ,1.4,1.1
310,310,Республика Саха (Якутия),Вилюйск,-57,-55,-54,-52,-42,-61,7.1,213,-23.4,259,-18.5,270,-17.4,74,73,61,З,1.8,1.8
311,311,Республика Саха (Якутия),Витим,-55,-53,-52,-50,-38,-61,10.3,202,-18.3,255,-13.6,268,-12.5,77,76,139,Ю,3.7,2.3
312,312,Республика Саха (Якутия),Джалинда,-63,-60,-59,-56,-46,-64,8.3,245,-24.5,292,-19.9,306,-18.6,73,73,50,Ю,2.5,2
313,313,Республика Саха (Якутия),Джарджан,-59,-57,-57,-54,-43,-60,6.4,235,-24.4,282,-19.6,295,-18.4,72,71,70,Ю,5,3
314,314,Республика Саха (Якутия),Джикимда,-54,-52,-52,-51,-41,-59,10.5,205,-21.6,256,-16.5,269,-15.3,77,77,79,З,1.7,0.8
315,315,Республика Саха (Якутия),Жиганск,-58,-55,-54,-52,-43,-60,6,229,-24.5,274,-19.8,287,-18.5,75,74,69,Ю,4.1,3.3
316,316,Республика Саха (Якутия),Зырянка,-54,-53,-51,-50,-42,-59,6.3,225,-24.5,266,-20,280,-18.6,77,77,82,С,3,1.9
317,317,Республика Саха (Якутия),Исить,-54,-52,-52,-50,-41,-54,6.6,207,-22.7,256,-17.5,268,-16.3,77,75,60,З,4.5,2.1
318,318,Республика Саха (Якутия),Иэма,-61,-59,-58,-57,-50,-62,7.9,236,-29.4,286,-23.5,303,-21.7,74,73,37,С,1.8,1.3
319,319,Республика Саха (Якутия),Крест-Хальджай,-58,-57,-56,-54,-48,-62,6.5,211,-28,253,-22.7,266,-21.1,71,71,41,З,1.3,0.8
320,320,Республика Саха (Якутия),Кюсюр,-58,-55,-55,-52,-44,-62,7.9,244,-24.3,294,-19.4,309,-18.1,74,74,91,ЮЗ,4.4,3.1
321,321,Республика Саха (Якутия),Ленск,-54,-52,-52,-50,-37,-57,8.6,207,-18.7,257,-14.3,270,-13.1,74,73,99,ЮЗ,4.2,2.6
322,322,Республика Саха (Якутия),Мирный,-53,-50,-50,-48,-37,-55,6.8,216,-19.7,263,-15.5,276,-14.3,77,77,69,З,3.8,3.1
323,323,Республика Саха (Якутия),Нагорный,-47,-45,-43,-40,-33,-57,9.7,219,-19,269,-14.7,283,-13.5,74,73,48,С,4.2,2.3
324,324,Республика Саха (Якутия),Нера,-61,-59,-59,-58,-51,-62,5,224,-30.1,265,-24.8,278,-23.2,73,73,37,ЮЗ,2.1,1.8
325,325,Республика Саха (Якутия),Нюрба,-58,-56,-55,-53,-42,-62,8.7,214,-22.9,261,-18,274,-16.7,75,75,60,ЮЗ,2.6,2.1
326,326,Республика Саха (Якутия),Оймякон,-63,-61,-60,-59,-52,-68,7.1,231,-30.9,276,-25.2,292,-23.3,75,74,40,З,1.5,0.9
327,327,Республика Саха (Якутия),Олекминск,-54,-52,-51,-49,-38,-60,7.9,204,-20.3,254,-15.5,267,-14.3,79,78,78,З,3,2.3
328,328,Республика Саха (Якутия),Оленек,-59,-58,-57,-55,-44,-63,7,240,-23.1,286,-18.7,298,-17.6,78,78,67,В,2.6,2.4
329,329,Республика Саха (Якутия),Охотский Перевоз,-58,-56,-55,-54,-47,-60,7.2,212,-27.7,256,-22.2,269,-20.7,74,74,49,Ю,1.6,1
330,330,Республика Саха (Якутия),Сангар,-53,-52,-51,-50,-42,-61,5.4,217,-24.7,259,-20,271,-18.7,70,70,62,В,4.4,3.1
331,331,Республика Саха (Якутия),Саскылах,-57,-56,-55,-53,-42,-60,7.3,256,-23.6,307,-19,325,-17.4,73,73,51,ЮВ,3.4,3.5
332,332,Республика Саха (Якутия),Среднеколымск,-54,-52,-52,-50,-41,-58,6.5,231,-24.2,277,-19.4,293,-17.9,77,77,72,ЮЗ,2,1.6
333,333,Республика Саха (Якутия),Сунтар,-57,-55,-54,-52,-41,-60,9.6,208,-21.4,256,-16.7,269,-15.4,77,73,67,Ю,2.3,2
334,334,Республика Саха (Якутия),Сухана,-62,-61,-60,-58,-48,-64,8.4,235,-26.3,284,-21.1,297,-19.8,72,72,56,Ю,2.7,1.4
335,335,Республика Саха (Якутия),Токо,-54,-53,-52,-51,-44,-61,13.7,221,-24.2,271,-19,288,-17.3,78,76,59,З,2.5,0.6
336,336,Республика Саха (Якутия),Томмот,-54,-53,-52,-50,-42,-60,10.4,209,-22.5,259,-17.3,272,-16.1,75,74,88,СЗ,2,0.9
337,337,Республика Саха (Якутия),Томпо,-57,-56,-55,-54,-48,-60,6.5,226,-28.3,268,-23.2,283,-21.5,76,75,33,С,2.6,2.1
338,338,Республика Саха (Якутия),Туой-Хая,-58,-55,-54,-52,-38,-59,10.4,214,-21.6,266,-16.6,279,-15.4,76,75,72,ЮЗ,3,1.9
339,339,Республика Саха (Якутия),Тяня,-55,-53,-52,-50,-40,-57,11.6,208,-21.2,261,-16,275,-14.8,77,75,87,СЗ,2.3,0.5
340,340,Республика Саха (Якутия),Усть-Мая,-55,-54,-53,-52,-45,-60,6.9,206,-26,251,-20.5,264,-19.1,76,73,59,С,1.6,1.3
341,341,Республика Саха (Якутия),Усть-Миль,-54,-53,-51,-51,-43,-59,9,207,-24.8,254,-19.5,268,-18,76,76,76,ЮЗ,1.5,0.9
342,342,Республика Саха (Якутия),Усть-Мома,-61,-59,-58,-56,-48,-62,7.4,227,-28.6,268,-23.6,282,-21.9,75,75,38,СЗ,2.5,0.9
343,343,Республика Саха (Якутия),Чульман,-48,-46,-45,-43,-35,-61,7,217,-19.5,266,-15.2,278,-14.1,79,80,83,СЗ,3.4,2.4
344,344,Республика Саха (Якутия),Чурапча,-58,-57,-56,-54,-47,-64,7.3,213,-27.3,255,-22.1,267,-20.7,72,72,41,В,1.9,1.3
345,345,Республика Саха (Якутия),Шелагонцы,-60,-59,-58,-57,-47,-65,10.3,233,-25.7,282,-20.5,295,-19.2,75,76,52,"В, З",1.7,1
346,346,Республика Саха (Якутия),Эйк,-57,-55,-54,-52,-42,-59,7.5,233,-23.6,281,-18.8,294,-17.6,76,76,47,Ю,2.7,2.3
347,347,Республика Саха (Якутия),Якутск,-56,-55,-54,-52,-43,-64,6.1,209,-25.6,252,-20.6,264,-19.2,76,72,48,С,1.7,1.5
348,348,Сахалинская область,Александровск-Сахалинский,-31,-29,-28,-26,-20,-41,8.7,169,-10.6,237,-6.3,256,-5.2,77,72,214,ЮВ,6.8,4.6
