id,station_id,subject,location,pressure,temperature_095,temperature_098,mean_maximal_month_temperature,absolutely_maximal_temperature,mean_daily_amplitude_temperature_the_warmest_month,mean_monthly_relative_humidity_the_warmest_month,mean_monthly_relative_humidity_the_warmest_month_15h,precipitation_amount_april_october,max_daily_precipitation_amount,dominant_wind_direction_june_august,minimal_of_mean_speed_wind_by_point_july
77,77,Еврейская автономная область,Облучье,982,24,27,26.2,38,12.1,78,64,656,143,С,0
78,78,Забайкальский край,Агинское,934,23,27,25.6,40,13.8,70,51,326,90,З,2.8
79,79,Забайкальский край,Акша,930,23,27,25.5,40,13.9,71,53,347,108,С,0
80,80,Забайкальский край,Александровский Завод,919,22,25,24,39,14.5,77,59,358,87,Ю,0
81,81,Забайкальский край,Борзя,935,24,27,25.8,41,12.9,69,52,275,73,В,0
82,82,Забайкальский край,Дарасун,921,23,27,25.1,40,15,74,54,357,71,СЗ,0
83,83,Забайкальский край,Калакан,942,22,26,25.2,37,16.8,75,50,396,80,З,0
84,84,Забайкальский край,Красный Чикой,927,22,26,25.2,39,14,72,53,308,96,СЗ,0
85,85,Забайкальский край,Могоча,940,22,25,24.3,38,14.4,75,54,411,99,СЗ,0
86,86,Забайкальский край,Нерчинск,957,24,28,27.1,42,13.8,71,50,302,66,З,0
87,87,Забайкальский край,Нерчинский Завод,940,23,26,25.2,40,12.7,74,55,403,111,СЗ,0
88,88,Забайкальский край,Средний Калар,926,21,25,23.9,36,16.3,74,51,383,64,З,0
89,89,Забайкальский край,Тунгокочен,919,21,25,23.8,37,15.3,76,54,382,81,СВ,0
90,90,Забайкальский край,Тупик,937,22,26,24.6,37,15.9,77,57,476,90,С,0
91,91,Забайкальский край,Чара,931,21,25,23.4,35,13.9,72,51,342,58,СВ,0
92,92,Забайкальский край,Чита,936,23,27,26,41,14.3,67,47,323,104,В,0
93,93,Ивановская область,Иваново,1000,21,25,25.2,38,12.2,73,56,423,422,"З, СЗ",0
94,94,Ивановская область,Кинешма,1000,21,26,24.9,37,11,72,55,450,423,З,0
95,95,Республика Ингушетия,Магас*,939,25,29,28.2,38,11,72,58,610,104,"СВ, Ю",0
96,96,Иркутская область,Алыгджер,911,20,24,22.9,38,14.2,77,55,530,65,С,0
97,97,Иркутская область,Байкальск,962,19,23,21.4,33,8.7,81,71,652,192,ЮЗ,0
98,98,Иркутская область,Бодайбо,984,22,27,26.1,40,14.3,71,51,345,62,ЮЗ,0
99,99,Иркутская область,Братск,968,21,24,23.7,35,10.6,73,61,280,102,З,2.3
100,100,Иркутская область,Верхне-Марково,985,23,27,25.8,39,14.2,73,54,290,102,ЮЗ,0
101,101,Иркутская область,Верхняя Гутара,903,20,24,22.3,36,15,78,57,508,69,С,0
102,102,Иркутская область,Ербогачен,980,22,26,24.8,36,14.8,66,49,260,71,С,0
103,103,Иркутская область,Ершово,972,22,26,24.4,35,11.9,68,53,291,72,З,0
104,104,Иркутская область,Жигалово,968,23,27,25.8,37,14.7,74,55,288,69,З,0
105,105,Иркутская область,Зима,964,23,27,25.2,37,13,70,52,302,75,СЗ,0
106,106,Иркутская область,Ика,974,22,26,24.4,36,15.8,72,52,244,70,З,0
107,107,Иркутская область,Иркутск,963,22,26,25,37,12.5,73,57,401,114,З,1.7
108,108,Иркутская область,Киренск,987,22,27,25.3,37,13.4,73,54,293,67,С,0
109,109,Иркутская область,Мама,991,22,27,26,38,14,74,53,385,54,"СЗ, ЮВ",0
110,110,Иркутская область,Наканно,985,21,26,24.3,36,15.1,67,48,273,50,"Ю, С",0
111,111,Иркутская область,Непа,977,22,26,24.7,39,14.4,71,51,279,93,З,0
112,112,Иркутская область,Орлинга,978,22,26,24.8,38,14.6,75,56,334,68,С,0
113,113,Иркутская область,Перевоз,976,22,27,25,38,15.3,72,51,317,78,СЗ,0
114,114,Иркутская область,Преображенка,980,22,26,24.4,36,14.5,69,50,274,68,С,0
115,115,Иркутская область,Тайшет,982,23,26,24.9,36,12.6,72,58,347,88,З,0
116,116,Иркутская область,Тулун,956,22,26,24.3,37,12.8,70,54,355,101,З,0
117,117,Иркутская область,Усть-Ордынский,956,23,27,25.5,37,13.9,71,53,275,102,З,0
118,118,Иркутская область,Чечуйск,988,23,27,25.3,36,13.8,76,56,329,72,ЮЗ,0
119,119,КабардиноБалкарская Республика,Нальчик,966,25,29,28.7,39,11.3,68,54,502,74,ЮЗ,2.2
120,120,Калининградская область,Калининград,1013,22,25,23.5,37,10,76,60,500,118,З,2.4
121,121,Республика Калмыкия,Элиста,998,30,33,32.1,43,13.1,50,35,240,71,"0,0",5.7
122,122,Калужская область,Калуга,992,22,26,24.2,38,11.5,75,58,427,79,З,0
123,123,Камчатский край,Апука,1008,12,14,13.9,25,5.2,86,82,247,62,СВ,2.9
124,124,Камчатский край,Большерецк,1004,14,16,15.9,29,6.5,90,80,571,97,СЗ,3.9
125,125,Камчатский край,Ича,1007,13,15,14.2,30,4.7,92,88,391,135,Ю,4.5
126,126,Камчатский край,Ключи,1005,19,22,19,31,8.4,76,63,278,78,В,2.6
127,127,Камчатский край,Козыревск,1004,20,24,22.6,34,12.2,75,57,223,60,С,0
128,128,Камчатский край,Корф,1009,14,16,15.8,30,5.9,81,72,236,103,Ю,3.4
129,129,Камчатский край,Кроноки,1006,13,16,15.4,30,7.6,90,85,450,,С,0
130,130,Камчатский край,"Лопатка, мыс",1002,10,11,11.1,20,3.1,96,94,371,78,СЗ,7.6
131,131,Камчатский край,Мильково,988,20,23,21.3,32,10.9,74,57,286,51,ЮЗ,0
132,132,Камчатский край,Начики,969,16,20,19,30,11.2,82,65,376,140,ЮВ,0
133,133,Камчатский край,о. Беринга,1005,12,13,12.7,22,3.1,92,89,286,74,Ю,6.3
134,134,Камчатский край,Оссора,1009,15,17,16.5,30,7.2,82,74,352,71,Ю,3.4
135,135,Камчатский край,Петропавловск-Камчатский,999,16,18,17.4,30,6.6,82,73,475,207,ЮВ,0
136,136,Камчатский край,Семлячики,1005,14,17,16,34,5.8,86,82,573,161,Ю,0
137,137,Камчатский край,Соболево,1005,15,17,16.6,29,7.5,91,79,419,92,Ю,2.4
138,138,Камчатский край,Усть-Воямполка,1008,13,15,13.4,29,6.8,89,84,276,86,С,3.1
139,139,Камчатский край,Усть-Камчатск,1005,12,15,16.2,30,7.1,86,78,272,71,Ю,4.5
140,140,Камчатский край,Усть-Хайрюзово,1007,14,17,16.2,29,6.8,87,79,318,81,С,4.2
141,141,КарачаевоЧеркесская Республика,Черкесск,952,25,29,28.1,39,12.4,69,50,460,99,В,0
142,142,Республика Карелия,Калевала,997,19,22,21,33,10.7,73,59,387,48,С,2.4
143,143,Республика Карелия,Кемь,1010,17,21,18.8,33,7.3,78,70,355,76,З,3.6
144,144,Республика Карелия,Олонец,1012,20,24,22.8,36,11.8,73,58,447,113,З,3.3
145,145,Республика Карелия,Паданы,996,19,22,20.7,32,7.9,74,65,386,80,В,3.4
146,146,Республика Карелия,Петрозаводск,999,20,23,21.6,34,9.1,75,61,408,68,"З, В",3.5
147,147,Республика Карелия,Реболы,990,19,23,21,36,8.4,74,63,412,78,З,2.4
148,148,Республика Карелия,Сортавала,1011,20,23,22,35,9.7,75,59,403,66,Ю,0
149,149,Кемеровская область,Кемерово,1001,23,27,25.9,37,13.1,71,52,347,80,Ю,0
150,150,Кемеровская область,Киселевск,984,24,27,26,38,12.2,67,52,317,49,ЮЗ,0
151,151,Кемеровская область,Кондома,978,23,27,25.5,38,14.3,78,58,595,77,ЮВ,0
152,152,Кемеровская область,Мариинск,1002,23,27,25.5,37,13,72,55,349,97,З,0
153,153,Кемеровская область,Тайга,988,22,25,24.3,36,12.7,73,55,425,82,З,0
154,154,Кемеровская область,Тисуль,993,23,26,25,37,13.2,74,55,386,84,З,0
155,155,Кемеровская область,Топки,985,23,26,25,37,11.8,70,55,363,87,Ю,2
156,156,Кемеровская область,Усть-Кабырза,971,23,27,25.9,38,14.3,76,56,604,92,З,0
157,157,Кировская область,Кильмезь,997,23,27,25.5,39,11.5,71,55,390,83,З,3.1
158,158,Кировская область,Киров,995,21,25,24.4,37,10.3,70,55,439,96,З,2.5
159,159,Кировская область,Нагорское,989,20,24,23.8,37,10.5,73,58,433,62,З,3.1
160,160,Республика Коми,Вендинга,1003,21,25,22,37,11.3,71,54,395,72,С,0
161,161,Республика Коми,Воркута,990,17,21,18.9,34,10.8,73,60,340,37,С,4.7
162,162,Республика Коми,Объячево,995,21,24,22.9,38,11.6,73,57,429,64,С,2.4
163,163,Республика Коми,Петрунь,1005,18,23,20.7,36,11.6,73,58,372,48,С,3.5
164,164,Республика Коми,Печора,1006,20,25,22,35,10.9,69,55,401,54,С,3.7
165,165,Республика Коми,Сыктывкар,999,21,25,23.5,35,11.3,72,57,404,74,С,2.9
166,166,Республика Коми,Троицко-Печорское,997,21,25,23,35,12.2,73,57,439,78,С,2.7
167,167,Республика Коми,Усть-Уса,1003,18,23,20.5,34,10,72,59,354,64,С,4.3
168,168,Республика Коми,Усть-Цильма,1003,19,23,21.1,34,10,72,59,389,66,С,3.7
169,169,Республика Коми,Усть-Щугор,1004,21,24,21,36,10,71,56,430,75,С,0
170,170,Республика Коми,Ухта,995,20,25,21.4,35,9.6,70,55,388,74,С,0
171,171,Костромская область,Кострома,999,22,26,24.3,37,10.5,74,58,422,80,С,2.5
172,172,Костромская область,Чухлома,994,21,25,24.1,36,11.1,75,59,430,93,Ю,0
173,173,Костромская область,Шарья,999,22,26,24.6,36,12.6,75,56,444,113,С,2.9
174,174,Краснодарский край,Красная Поляна,950,25,28,27.4,40,11.8,77,64,981,188,С,0
175,175,Краснодарский край,Краснодар,1013,28,32,31.3,42,12,63,45,409,107,В,0
176,176,Краснодарский край,Приморско-Ахтарск,1016,28,32,30,43,9.2,65,53,342,123,В,2.8
177,177,Краснодарский край,Сочи,1010,26,29,28.2,39,7.8,79,69,848,245,В,0
178,178,Краснодарский край,Тихорецк,1007,26,28,31,42,12.7,60,44,385,92,В,0
179,179,Красноярский край,Агата,980,17,21,19.9,35,13.6,68,54,331,48,З,0
180,180,Красноярский край,Ачинск,987,23,26,24.7,37,11,68,52,344,99,ЮЗ,2.7
181,181,Красноярский край,Байкит,985,21,25,24.5,39,13.9,68,49,362,60,С,0
182,182,Красноярский край,Боготол,983,22,25,24.3,34,12.2,71,55,374,107,З,0
183,183,Красноярский край,Богучаны,1002,23,27,26.1,38,13.3,66,48,263,63,З,0
184,184,Красноярский край,Ванавара,985,22,27,25.3,36,15.5,66,47,301,64,СВ,0
185,185,Красноярский край,Вельмо,1002,21,26,24.9,36,15,73,54,426,54,З,0
186,186,Красноярский край,Верхнеимбатск,1009,21,25,23.5,35,11,68,55,410,90,СЗ,2.2
187,187,Красноярский край,Волочанка,1008,16,20,18.1,36,9.3,73,62,246,46,В,4.5
188,188,Красноярский край,Диксон,1006,7,11,8.3,27,5,89,86,224,47,"С, СВ",6
189,189,Красноярский край,Дудинка,1011,16,21,18.5,32,9.3,72,61,317,48,С,4
190,190,Красноярский край,Енисейск,1008,22,26,25.3,35,12.9,71,54,341,74,З,0
191,191,Красноярский край,Игарка,1010,18,23,21.2,34,10.4,70,57,346,100,С,3.9
192,192,Красноярский край,Канск,994,23,27,25.6,38,12.9,71,54,276,113,З,0
193,193,Красноярский край,Красноярск,985,23,26,25.1,38,11.8,69,54,374,97,ЮЗ,0
194,194,Красноярский край,Минусинск,990,25,28,27.3,39,14.2,67,46,310,103,З,0
195,195,Красноярский край,Тура,994,21,25,24.2,39,14,64,49,284,93,З,0
196,196,Красноярский край,Туруханск,1009,20,24,22.3,36,10.8,68,55,400,62,"С, Ю",2.7
197,197,Красноярский край,Хатанга,1010,5,20,17.6,37,8.8,70,62,191,58,СВ,4
198,198,Красноярский край,"Челюскин, мыс",1011,2,5,3.1,24,4.3,32,91,149,33,З,5
199,199,Красноярский край,Ярцево,1009,22,26,24.8,36,12,70,55,412,137,ЮВ,0
200,200,Республика Крым,Ай-Петри,800,19,23,20.9,32,7.2,67,53,464,215,СЗ,
201,201,Республика Крым,Керчь,1010,29,33,28.9,38,9.7,67,55,269,146,С,4.4
202,202,Республика Крым,Клепинино,1010,27,30,28.8,41,13.3,63,47,271,114,"СЗ, СВ",
203,203,Республика Крым,Севастополь,1010,28,31,27.7,38,8.1,69,64,222,118,В,
204,204,Республика Крым,Симферополь,996,26,30,29.5,40,12.7,63,44,309,119,В,3.9
205,205,Республика Крым,Феодосия,1016,27,31,29.5,39,9.1,63,53,279,132,З,2.7
206,206,Республика Крым,Ялта,1014,27,31,29.4,39,8.3,61,49,275,95,З,1.2
207,207,Курганская область,Курган,1008,25,28,26.3,41,12.4,66,50,289,87,С,0
208,208,Курская область,Курск,987,24,27,25.4,39,10.4,69,54,410,144,З,2.8
209,209,Ленинградская область,Выборг,1011,21,24,22.4,35,8.2,73,61,436,76,ЮЗ,4.9
210,210,Ленинградская область,Новая Ладога,1012,21,24,21.6,36,7.5,75,64,431,69,Ю,2.6
211,211,Ленинградская область,Санкт-Петербург,1013,22,25,23.2,37,8.2,71,59,438,76,З,2.3
212,212,Ленинградская область,Тихвин,1007,22,25,23.7,38,11.8,76,58,485,78,З,0
213,213,Липецкая область,Липецк,995,24,28,26.3,41,12.1,68,51,355,103,З,3.4
214,214,Магаданская область,Брохово,1010,14,17,16,32,6.4,80,75,336,59,ЮЗ,3.6
215,215,Магаданская область,Магадан,996,14,16,15.4,26,5.6,83,76,435,108,З,3.1
216,216,Магаданская область,Омсукчан,949,17,22,20.5,34,13.1,67,51,228,39,ЮЗ,2.6
217,217,Магаданская область,Палатка,968,18,22,20.6,33,13.8,76,59,341,60,З,0
218,218,Магаданская область,Среднекан,981,21,26,23.8,36,14.2,65,49,312,48,С,0
219,219,Магаданская область,Сусуман,934,19,23,21.9,35,15.1,67,50,239,52,СВ,0
220,220,Республика Марий Эл,Йошкар-Ола,1001,23,26,25.5,39,12.2,73,55,382,66,З,2.8
221,221,Республика Мордовия,Саранск,992,23,27,25.9,39,11.8,70,53,333,56,С,3.3
222,222,Московская область,Дмитров,993,21,25,24,38,10.3,64,50,450,81,В,2.2
223,223,Московская область,Кашира,989,21,25,23.8,39,10,71,57,414,59,З,2.5
224,224,Московская область,Можайск,993,23,26,24,38,11.1,76,59,455,66,Ю,0
225,225,Московская область,Москва,997,23,26,24.5,38,10.1,72,57,470,88,З,0
226,226,Московская область,Наро-Фоминск,993,24,27,24.1,39,11.4,75,58,445,80,З,0
227,227,Московская область,Новомосковский АО,995,24,27,24.6,38,11.8,75,56,443,63,Ю,0
228,228,Московская область,Троицкий АО,993,23,26,23.9,39,11.3,75,59,441,80,З,0
229,229,Московская область,Черусти,1000,24,27,25.1,39,12.3,75,58,401,88,З,0
230,230,Мурманская область,Вайда-Губа,1008,13,17,14.5,32,6.2,83,78,321,52,В,5.3
231,231,Мурманская область,Кандалакша,1008,17,21,17.8,32,8.3,74,62,344,51,С,3
232,232,Мурманская область,Ковдор,981,17,21,19,32,10,72,60,422,57,С,0
233,233,Мурманская область,Краснощелье,991,17,21,18.9,34,10.4,73,59,366,56,В,2.2
234,234,Мурманская область,Ловозеро,990,17,21,18.3,34,9.9,75,62,353,61,С,3.1
235,235,Мурманская область,Мончегорск,995,17,22,18.7,32,8.1,71,61,345,85,Ю,4.2
236,236,Мурманская область,Мурманск,1004,16,21,17.8,33,8.3,74,63,344,58,С,4
237,237,Мурманская область,Ниванкюль,1000,17,22,18.4,32,9.3,72,65,389,72,СВ,2.4
238,238,Мурманская область,Пялица,1010,13,18,14.7,29,7.4,82,78,318,70,В,4.1
239,239,Мурманская область,о. Сосновец,1009,11,14,12.3,27,4.9,89,86,263,59,СВ,6
240,240,Мурманская область,Териберка,1006,15,19,16,35,7,79,74,329,81,"С, В, СЗ",5
241,241,Мурманская область,Умба,1006,17,20,18.8,32,7.6,75,64,345,67,С,3.6
242,242,Ненецкий автономный округ,Варандей,1011,13,16,13.9,32,6.6,86,82,265,46,З,4.5
243,243,Ненецкий автономный округ,Индига,1011,14,18,15.5,32,7.7,84,78,285,78,С,4.3
244,244,Ненецкий автономный округ,Канин Нос,1005,12,15,12.5,31,5.4,87,84,255,85,Ю,4.6
245,245,Ненецкий автономный округ,Коткино,1010,18,22,19.9,35,11.4,75,61,354,71,З,2.9
246,246,Ненецкий автономный округ,Нарьян-Мар,1010,17,22,19,34,9.7,75,62,329,82,С,2.6
247,247,Ненецкий автономный округ,Ходовариха,1010,11,15,12.5,32,5.5,87,83,240,60,С,4.9
248,248,Ненецкий автономный округ,Хоседа-Хард,1001,17,22,19.5,34,11.4,75,62,320,51,С,3.1
249,249,Нижегородская область,Арзамас,998,22,26,25.7,40,12,72,54,355,72,З,0
250,250,Нижегородская область,Выкса,1001,22,27,25.7,39,11.3,71,53,393,92,Ю,0
251,251,Нижегородская область,Нижний Новгород,996,23,27,24.9,38,9.9,72,54,424,72,Ю,0
252,252,Новгородская область,Боровичи,1003,20,25,23.7,39,10.9,76,59,456,74,З,0
253,253,Новгородская область,Великий Новгород,1011,20,25,23.5,36,10.1,75,59,388,74,С,3.3
254,254,Новосибирская область,Барабинск,1004,24,27,25.9,38,12.4,69,50,280,75,З,3.4
255,255,Новосибирская область,Болотное,995,23,27,25.4,36,12.1,69,52,347,101,З,0
256,256,Новосибирская область,Карасук,1005,25,29,27.4,40,12.5,62,45,239,118,С,3
257,257,Новосибирская область,Кочки,999,24,28,26.4,39,13.4,62,45,280,83,С,3.2
258,258,Новосибирская область,Купино,1004,25,28,27,40,13.2,65,47,247,93,С,3
259,259,Новосибирская область,Кыштовка,1004,23,27,25.3,39,13.1,72,54,312,76,"С, З",0
260,260,Новосибирская область,Новосибирск,1003,24,27,25.8,37,12.1,69,51,317,95,Ю,2.7
261,261,Новосибирская область,Татарск,1004,24,28,26.6,40,12.9,66,47,280,83,С,2.7
262,262,Новосибирская область,Чулым,1002,23,27,25.6,40,12.5,70,52,289,59,С,3.1
263,263,Омская область,Исиль-Куль,1003,24,28,25.9,40,12.3,65,48,267,104,С,3.2
264,264,Омская область,Омск,1003,24,27,25.8,40,11.8,64,49,293,80,С,0
265,265,Омская область,Тара,1008,23,27,24.8,38,11.8,69,52,332,79,С,2.6
266,266,Омская область,Черлак,1005,25,29,26.5,41,11.7,63,48,257,70,С,2.5
267,267,Оренбургская область,Кувандык,990,27,32,28.8,42,16.5,62,42,284,63,З,0
268,268,Оренбургская область,Оренбург,1001,28,32,29.8,42,14,56,39,225,62,"С, В",3.4
269,269,Оренбургская область,Сорочинск,1000,27,31,29,41,13.3,60,43,248,57,З,2.1
270,270,Орловская область,Орел,991,25,28,25.2,40,11.1,73,56,413,77,Ю,2.9
271,271,Пензенская область,Земетчино,999,25,29,26.7,41,12.8,70,51,349,126,З,0
272,272,Пензенская область,Пенза,994,25,29,26.8,40,12.1,68,51,356,103,З,2.1
273,273,Пермский край,Бисер,959,20,24,21.7,35,10.9,72,60,572,132,З,0
274,274,Пермский край,Ножовка,1000,23,27,25,37,10.8,69,54,380,70,З,0
275,275,Пермский край,Пермь,995,23,26,24.4,37,11.3,68,54,441,72,С,0
276,276,Пермский край,Чердынь,989,21,25,23.1,36,10,68,56,483,75,З,2.4
277,277,Приморский край,Агзу,993,23,27,25.5,40,13,81,66,499,112,Ю,0
278,278,Приморский край,Анучино,992,25,29,27.9,39,11.7,78,63,584,146,ЮЗ,0
279,279,Приморский край,Астраханка,1005,24,27,26.4,37,9.3,82,71,501,109,Ю,3.3
280,280,Приморский край,Богополь,1006,23,27,24.7,40,10.1,82,71,561,145,В,0
281,281,Приморский край,Владивосток,993,21,23,23.4,34,5.8,85,78,715,244,Ю,6.1
282,282,Приморский край,Дальнереченск,1002,25,27,27,37,10,78,64,561,113,ЮЗ,2.5
283,283,Приморский край,Кировский,1002,25,28,27.3,38,10.7,78,64,603,117,Ю,0
284,284,Приморский край,Красный Яр,998,25,28,27.7,38,12.8,82,66,723,141,СВ,0
285,285,Приморский край,Маргаритово,1010,23,27,24.2,40,10.1,87,79,677,167,ЮВ,0
286,286,Приморский край,Мельничное,974,24,28,26.3,37,12.6,80,59,590,153,В,0
287,287,Приморский край,Партизанск,990,23,26,26,37,9.6,82,71,685,191,Ю,0
